UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
CE,ABAIARA,UBS DR SEBASTIAO CAVALCANTE ESF III,PE JOSE LEITE SAMPAIO,S/N,CENTRO,"PE JOSE LEITE SAMPAIO, CENTRO, ABAIARA, CE, BRASIL",,,,
CE,ABAIARA,UBS VALDEMIRO SAMPAIO CRUZ ESF IV,SITIO OLHO DAGUA DE PEDRA,S/N,ZONA RURAL,"SITIO OLHO DAGUA DE PEDRA, ZONA RURAL, ABAIARA, CE, BRASIL",,,,
CE,ABAIARA,UBS VILA SAO JOSE ESF II,VILA DE SAO JOSE,S/N,ZONA RURAL,"VILA DE SAO JOSE, ZONA RURAL, ABAIARA, CE, BRASIL",,,,
CE,ABAIARA,UBS MARIA DE LOURDES DE JESUS ESF V,SITIO OITIS,S/N,ZONA RURAL,"SITIO OITIS, ZONA RURAL, ABAIARA, CE, BRASIL",,,,
CE,ABAIARA,UNIDADE SAO FRANCISCO,RUA JOSIAS LEITE TEIXEIRA,S/N,CENTRO,"RUA JOSIAS LEITE TEIXEIRA, CENTRO, ABAIARA, CE, BRASIL",,,,
CE,ABAIARA,UBS JOAQUINA ALVES DE MEDEIROS ESF I,RUA JOAQUIM LEITE DA CUNHA,S/N,CENTRO,"RUA JOAQUIM LEITE DA CUNHA, CENTRO, ABAIARA, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE ALTO CIPRIANO,ESTRADA ALTO CIPRIANO,S/N,SITIO AMARGOSO,"ESTRADA ALTO CIPRIANO, SITIO AMARGOSO, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,CENTRO DE REABILITACAO,CE 060,S/N,CENTRO,"CE 060, CENTRO, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE DE TAMANDUA,SITIO TAMANDUA,S/N,SITIO TAMANDUA,"SITIO TAMANDUA, SITIO TAMANDUA, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE DE POCO ESCURO,VILA POCO ESCURO,S/N,POCO ESCURO,"VILA POCO ESCURO, POCO ESCURO, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE GARAPA I,GARAPA I,S/N,GARAPA,"GARAPA I, GARAPA, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE DE MORENOS,SITIO MORENOS,S/N,SITIO MORENOS,"SITIO MORENOS, SITIO MORENOS, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE PAU BRANCO II,PAU BRANCO II,S/N,PAU BRANCO,"PAU BRANCO II, PAU BRANCO, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,UNID MISTA SAUDE J OLVEIRA,RUA FRANCISCO LEITE DUARTE,S/N,CENTRO,"RUA FRANCISCO LEITE DUARTE, CENTRO, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE SAO FRANCISCO,RUA JOSE GUILHERME,S/N,CENTRO,"RUA JOSE GUILHERME, CENTRO, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE DE CANTA GALO,COMUNIDADE DE CANTA GALO,S/N,CENTRO,"COMUNIDADE DE CANTA GALO, CENTRO, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE SAO BENEDITO,RUA FRANCISCO RAIMUNDO CAMPOS,S/N,SAO BENEDITO,"RUA FRANCISCO RAIMUNDO CAMPOS, SAO BENEDITO, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE DE RIACHAO DO NORTE,VILA RIACHAO DO NORTE,S/N,CENTRO,"VILA RIACHAO DO NORTE, CENTRO, ACARAPE, CE, BRASIL",,,,
CE,ACARAPE,POSTO DE SAUDE GARAPA II,GARAPA II,S/N,GARAPA II,"GARAPA II, GARAPA II, ACARAPE, CE, BRASIL",,,,
