UF,MUNICIPIO,ESTABELECIMENTO,LOGRADOURO,NUMERO,BAIRRO,ENDERECO_COMPLETO,latitude,longitude,address,point
RR,ALTO ALEGRE,POSTO DE SAUDE PAREDAO NOVO,VILA PAREDAO,S/N,CENTRO,"VILA PAREDAO, CENTRO, ALTO ALEGRE, RR, BRASIL",,,,
RR,ALTO ALEGRE,CENTRO DE REFERENCIA SAUDE DA MULHER DE ALTO ALEGRE,AVENIDA 1 DE JULHO,S/N,CENTRO,"AVENIDA 1 DE JULHO, CENTRO, ALTO ALEGRE, RR, BRASIL",,,,
RR,ALTO ALEGRE,POSTO DE SAUDE DO TAIANO,RUA A,S/N,ZONA RURAL,"RUA A, ZONA RURAL, ALTO ALEGRE, RR, BRASIL",,,,
RR,ALTO ALEGRE,UNIDADE MISTA BOM SAMARITANO,RUA PRINCIPAL,S/N,CENTRO,"RUA PRINCIPAL, CENTRO, ALTO ALEGRE, RR, BRASIL",,,,
RR,ALTO ALEGRE,POSTO DE SAUDE VILA SAO SILVESTRE,RUA PRINCIPAL,S/N,CENTRO,"RUA PRINCIPAL, CENTRO, ALTO ALEGRE, RR, BRASIL",,,,
RR,ALTO ALEGRE,CENTRO DE SAUDE ANA PEREIRA,RUA JOAO 23,S/N,CENTRO,"RUA JOAO 23, CENTRO, ALTO ALEGRE, RR, BRASIL",,,,
RR,ALTO ALEGRE,UBS ALONSO DEMETRIO DOS SANTOS,COMUNIDADE RAIMUNDAO I,S/N,ZONA RURAL,"COMUNIDADE RAIMUNDAO I, ZONA RURAL, ALTO ALEGRE, RR, BRASIL",,,,
RR,ALTO ALEGRE,POSTO DE SAUDE RECREAR,RR205,S/N,ZONA RUARAL,"RR205, ZONA RUARAL, ALTO ALEGRE, RR, BRASIL",,,,
RR,ALTO ALEGRE,CENTRO DE SAUDE JOAO MARIANO,AVENIDA GETULIO VARGAS,S/N,MUTIRAO,"AVENIDA GETULIO VARGAS, MUTIRAO, ALTO ALEGRE, RR, BRASIL",,,,
RR,AMAJARI,POSTO DE SAUDE DO TEPEQUEM,RUA PRINCIPAL,S/N,ZONA RURAL,"RUA PRINCIPAL, ZONA RURAL, AMAJARI, RR, BRASIL",,,,
RR,AMAJARI,POSTO DE SAUDE DO PESQUEIRO,RUA EREU RR,S/N,CENTRO,"RUA EREU RR, CENTRO, AMAJARI, RR, BRASIL",,,,
RR,AMAJARI,CENTRO DE SAUDE JAIR DA SILVA MOTA,RUA JOSE PEREIRA DA SILVA,S/N,CENTRO,"RUA JOSE PEREIRA DA SILVA, CENTRO, AMAJARI, RR, BRASIL",,,,
